Id,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
154446,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/4636100416414990435,200,OK,75,443,1987
154452,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/1911056963604328516,200,OK,68,443,1987
154455,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/103.js/8868910284396165913,200,OK,46,443,1987
154457,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/103.js/7618823165929498950,200,OK,27,443,1987
154461,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/ae.svg/8256485159744891453,200,OK,35,443,1987
154462,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/ae.svg/2708539659865370378,200,OK,30,443,1987
154465,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/api/3713128059001601685,500,Internal Server Error,5,318,2060
154468,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/api/Challenges/3477918729852054398,401,Unauthorized,5,309,234
154470,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/api/Feedbacks/7273930442560775029,401,Unauthorized,6,309,234
154473,Mon May 30 17:43:26 WEST 2022,Mon May 30 17:43:26 WEST 2022,GET,http://192.168.1.80:3000/api/Quantitys/4176992357061336893,500,Internal Server Error,14,318,2079
154476,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/api/SecurityQuestions/2004083471482942568,401,Unauthorized,15,309,234
154480,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/7254106948400216939,200,OK,61,443,1987
154482,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/8891090138988319643,200,OK,42,443,1987
154485,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/i18n/8456526006772445913,200,OK,24,443,1987
154487,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/i18n/2837758700773083648,200,OK,44,443,1987
154490,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/i18n/en.json/6461309013336984198,200,OK,21,443,1987
154492,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/i18n/en.json/8428361728115617198,200,OK,33,443,1987
154496,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/2683364321143876195,200,OK,22,443,1987
154499,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/5664025459347718825,200,OK,20,443,1987
154502,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/favicon_js.ico/1008097637763943448,200,OK,13,443,1987
154504,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/favicon_js.ico/331789919264530192,200,OK,40,443,1987
154509,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/8512318629604230435,200,OK,33,443,1987
154512,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/2758458230587010339,200,OK,20,443,1987
154516,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/2494440009903041360,200,OK,24,443,1987
154519,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/812267821575027748,200,OK,25,443,1987
154523,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/1.jpg/3467819970963353016,200,OK,19,443,1987
154526,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/1.jpg/4215744307807179198,200,OK,32,443,1987
154532,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/2.jpg/7133514353328802442,200,OK,25,443,1987
154535,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/2.jpg/6515525097116784674,200,OK,18,443,1987
154539,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/3.jpg/5000512591328330151,200,OK,27,443,1987
154542,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/3.jpg/2101514447532865889,200,OK,28,443,1987
154546,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/4.jpg/98991733791226156,200,OK,22,443,1987
154550,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/4.jpg/8167952288459690570,200,OK,30,443,1987
154554,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/5.png/2565503396816554809,200,OK,35,443,1987
154557,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/5.png/6300935501285863035,200,OK,28,443,1987
154562,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/6.jpg/7900722686623399974,200,OK,34,443,1987
154565,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/6.jpg/6059448178116331267,200,OK,32,443,1987
154569,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/7.jpg/2277723968938737601,200,OK,26,443,1987
154572,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:27 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/carousel/7.jpg/7592698751290295674,200,OK,37,443,1987
154576,Mon May 30 17:43:27 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/hackingInstructor.png/2785374461354303203,200,OK,29,443,1987
154579,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/hackingInstructor.png/6105114807685346372,200,OK,27,443,1987
154583,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/JuiceShop_Logo.png/689945980119096443,200,OK,22,443,1987
154586,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/JuiceShop_Logo.png/1167261512910749809,200,OK,26,443,1987
154591,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/6342216888322896604,200,OK,51,443,1987
154595,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/3300734937200086715,200,OK,45,443,1987
154600,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/3d_keychain.jpg/1175303319465060314,200,OK,39,443,1987
154604,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/3d_keychain.jpg/6075516045738920352,200,OK,42,443,1987
154609,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/apple_juice.jpg/1976103791992799870,200,OK,41,443,1987
154614,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/apple_juice.jpg/6045784790058818215,200,OK,37,443,1987
154619,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/apple_pressings.jpg/4398286312617348929,200,OK,52,443,1987
154623,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/apple_pressings.jpg/7577144724061338100,200,OK,47,443,1987
154629,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/artwork2.jpg/961910892401109902,200,OK,52,443,1987
154634,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/artwork2.jpg/5370492570549049987,200,OK,29,443,1987
154637,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/banana_juice.jpg/3450961733082096272,200,OK,28,443,1987
154641,Mon May 30 17:43:28 WEST 2022,Mon May 30 17:43:28 WEST 2022,GET,http://192.168.1.80:3000/assets/public/images/products/banana_juice.jpg/2440491476910551693,200,OK,64,443,1987
